Customer Gender,Is Senior,Partner,Dependents,Customer Tenure,Has Phone Service,Multiple Lines,Internet Plan,Online Security,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Customer Satisfaction,Churn Label
Male,N,N,N,2,Y,N,DSL,Y,N,N,N,N,Month-to-month,Y,Mailed check,53.85,108.15,4,Y
Female,N,N,Y,2,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,70.7,151.65,5,Y
Female,N,N,Y,8,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Electronic check,99.65,820.5,3,Y
Female,N,Y,Y,28,Y,Y,Fiber optic,N,Y,Y,Y,Y,Month-to-month,Y,Electronic check,104.8,3046.05,5,Y
Male,N,N,Y,49,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Bank transfer (automatic),103.7,5036.3,5,Y
Female,N,Y,N,10,Y,N,DSL,N,Y,Y,N,N,Month-to-month,N,Credit card (automatic),55.2,528.35,2,Y
Male,Y,N,N,1,N,No phone service,DSL,N,Y,N,N,Y,Month-to-month,Y,Electronic check,39.65,39.65,3,Y
Male,N,N,N,1,Y,N,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,N,Mailed check,20.15,20.15,3,Y
Male,N,Y,Y,47,Y,Y,Fiber optic,N,N,N,Y,Y,Month-to-month,Y,Electronic check,99.35,4749.15,3,Y
Male,N,Y,N,1,N,No phone service,DSL,N,N,N,N,N,Month-to-month,N,Electronic check,30.2,30.2,5,Y
Female,N,N,N,17,Y,N,DSL,N,N,N,Y,Y,Month-to-month,Y,Mailed check,64.7,1093.1,4,Y
Male,N,N,Y,5,Y,N,Fiber optic,N,N,N,N,N,Month-to-month,Y,Electronic check,69.7,316.9,3,Y
Male,N,N,Y,34,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Electronic check,106.35,3549.25,5,Y
Female,N,N,Y,11,Y,Y,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Bank transfer (automatic),97.85,1105.4,2,Y
Female,N,N,Y,2,Y,N,Fiber optic,N,N,N,Y,N,Month-to-month,Y,Electronic check,80.65,144.15,4,Y
Female,N,N,Y,15,Y,N,Fiber optic,Y,N,N,Y,Y,Month-to-month,Y,Credit card (automatic),99.1,1426.4,2,Y
Female,Y,Y,Y,8,Y,Y,Fiber optic,N,N,N,N,N,Month-to-month,Y,Credit card (automatic),80.65,633.3,4,Y
Male,Y,N,Y,18,Y,Y,Fiber optic,N,N,N,Y,Y,Month-to-month,Y,Electronic check,95.45,1752.55,5,Y
Female,N,N,Y,9,Y,Y,Fiber optic,N,N,N,Y,Y,Month-to-month,N,Electronic check,94.4,857.25,1,Y
Female,N,N,Y,1,Y,N,Fiber optic,N,N,N,Y,N,Month-to-month,Y,Electronic check,79.35,79.35,4,Y
Female,N,Y,Y,7,Y,N,Fiber optic,N,Y,N,N,N,Month-to-month,Y,Bank transfer (automatic),75.15,496.9,2,Y
Female,N,N,Y,12,Y,Y,Fiber optic,Y,N,N,N,N,Month-to-month,Y,Electronic check,78.95,927.35,5,Y
Male,N,N,N,5,Y,N,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,N,Mailed check,21.05,113.85,4,Y
Female,Y,Y,Y,25,Y,N,Fiber optic,N,Y,N,Y,Y,Month-to-month,Y,Electronic check,98.5,2514.5,1,Y
Male,N,Y,N,68,Y,Y,Fiber optic,N,Y,Y,Y,Y,Two year,Y,Bank transfer (automatic),110.0,7611.85,1,Y
