User ID,Content Category,Interaction Type,Time of Interaction,Device Used
U0328,Technology,Share,Morning,Tablet
U0072,Technology,Like,Evening,Tablet
U0017,Technology,Like,Morning,Mobile
U0309,Education,Follow,Morning,Mobile
U0302,Technology,Share,Afternoon,Mobile
U0175,Fitness,Share,Afternoon,Mobile
U0195,Food,Follow,Morning,Desktop
U0275,Travel,Share,Morning,Mobile
U0296,Technology,Like,Morning,Mobile
U0396,Technology,Follow,Afternoon,Mobile
U0143,Food,Like,Afternoon,Mobile
U0108,Food,Like,Evening,Tablet
U0088,Fitness,Follow,Evening,Mobile
U0474,Education,Like,Evening,Mobile
U0118,Food,Share,Morning,Desktop
U0468,Food,Like,Evening,Mobile
U0203,Travel,Share,Evening,Mobile
U0382,Education,Share,Evening,Desktop
U0220,Travel,Comment,Evening,Desktop
U0261,Technology,Comment,Afternoon,Mobile
U0322,Travel,Like,Morning,Tablet
U0196,Travel,Comment,Evening,Tablet
U0284,Technology,Share,Morning,Tablet
U0175,Food,Comment,Morning,Desktop
U0489,Food,Comment,Evening,Tablet
U0055,Food,Comment,Evening,Tablet
U0391,Education,Like,Morning,Tablet
U0251,Technology,Share,Morning,Desktop
U0124,Technology,Like,Evening,Mobile
U0418,Education,Comment,Morning,Mobile
U0485,Fitness,Follow,Evening,Desktop
U0311,Fitness,Like,Afternoon,Tablet
U0354,Food,Share,Morning,Desktop
U0265,Technology,Share,Afternoon,Mobile
U0174,Education,Comment,Morning,Tablet
U0004,Technology,Like,Morning,Mobile
U0017,Technology,Comment,Afternoon,Tablet
U0249,Education,Follow,Morning,Mobile
U0243,Fitness,Like,Afternoon,Mobile
U0182,Travel,Like,Afternoon,Desktop
U0331,Technology,Like,Morning,Desktop
U0128,Fitness,Follow,Morning,Tablet
U0094,Travel,Like,Afternoon,Mobile
U0442,Technology,Like,Evening,Mobile
U0277,Technology,Like,Morning,Mobile
U0249,Fitness,Like,Afternoon,Desktop
U0002,Food,Share,Afternoon,Desktop
U0491,Education,Follow,Evening,Tablet
U0152,Technology,Like,Morning,Tablet
U0030,Education,Share,Morning,Desktop
U0437,Fitness,Like,Evening,Mobile
U0305,Fitness,Comment,Morning,Desktop
U0456,Fitness,Like,Evening,Tablet
U0215,Education,Comment,Evening,Tablet
U0343,Food,Like,Evening,Mobile
U0068,Food,Like,Evening,Desktop
U0005,Education,Like,Afternoon,Tablet
U0110,Food,Like,Evening,Mobile
U0451,Food,Comment,Morning,Desktop
U0279,Food,Like,Evening,Tablet
U0284,Technology,Share,Afternoon,Mobile
U0456,Education,Share,Morning,Mobile
U0108,Food,Like,Evening,Mobile
U0437,Education,Follow,Afternoon,Desktop
U0465,Technology,Like,Morning,Tablet
U0002,Fitness,Comment,Afternoon,Tablet
U0380,Education,Follow,Afternoon,Tablet
U0058,Fitness,Comment,Morning,Tablet
U0221,Technology,Like,Morning,Desktop
U0461,Fitness,Like,Afternoon,Tablet
U0053,Education,Comment,Afternoon,Desktop
U0474,Fitness,Follow,Morning,Mobile
U0378,Travel,Comment,Afternoon,Tablet
U0137,Technology,Comment,Morning,Desktop
U0103,Food,Comment,Afternoon,Desktop
U0338,Travel,Share,Morning,Desktop
U0180,Education,Share,Evening,Desktop
U0432,Food,Like,Evening,Mobile
U0497,Fitness,Share,Afternoon,Tablet
U0020,Education,Share,Morning,Desktop
U0403,Travel,Like,Afternoon,Tablet
U0198,Fitness,Follow,Evening,Desktop
U0224,Education,Comment,Morning,Tablet
U0036,Food,Share,Evening,Tablet
U0064,Food,Share,Evening,Tablet
