Card_id,Header,Review,Location,shop
5fd2387c755dc107e0be6c1b,Terrible customer services,"Awful experience, I ordered some trainers which were lost by Hermes. I Emailed customer services to which I did not receive a reply for a couple of weeks. When I eventually got through to live chat I was refunded without being given the option to have a replacement sent. When asked about this I received the response 'we do not offer automatic exchanges' when I reminded the agent they lost my parcel the response was 'my mistake, I suggest you reorder'. I will be reordering but not from Zalando.",Britain (UK),Zalando
605fe24df85d750870395937,Warning,Warning: addictive!!! Prices have gone up some.,United States,Wish
592017d2a02b42090067978e,Fabulous !,"Cannot fault Zalando at all,  easy to use online and product was great and delivered on time !!! Would I use Zalando again "" Definitely "" x",Britain (UK),Zalando
5f9c15195e693f06f8759ddd,I placed an order 4 weeks ago still…,I placed an order 4 weeks ago still havnt recieved and when I track my order it says it is been delivered it has not been delivered no help what so ever discusting company do not waste your money,Britain (UK),Sheinside
553970a80000ff0002dfc83c,Not impressed,"I placed an order about 5 days ago, and it is still processing. I paid for the fastest shipping available, and their customer service told me that they still cannot guarantee that I will receive it for the event I need the dress for, late next week. They also told me yesterday that my order was ready to ship ""as soon as possible"" but still says processing online. What am I paying shipping for if they cannot guarantee it will be here in the advertised amount of time?? Do not think I would rely on this website if I need something for a specific date again.",United States,Sheinside
5f8c3143798e6f0bcc48767f,Reliable Good value and speedy,"I was looked for Ugg’s slip on suede shoes and these had the best price, delivery was very fast and I recommend them.It is the first time I have used them but will definitely use them again !!!",Britain (UK),Boozt
5e33634f3c93ae0b249a9d26,Extremely Slow Dealing With Returns,Sent back 3 parcels to 3 different companies at the same 2 have completed the returns processing and the money is back in my account but I have not heard a thing from Zalando after 2 weeks. This would put me off using them again.,Britain (UK),Zalando
599db6caa64b4105d836d4fc,Horrific customer service skills.,"Horrific customer service skills! In 2017, you would expect to be able to pay online via card payment but oh no! And when you contact customer services, you get greeted by somebody telling you they cannot assist you about adding card payment rather than PayPal, even though the website clearly states you can. If you ask to speak to a superior, you will rudely be told no, and informed that they know as little on the subject as you. If you ask to speak to anyone in regards to the matter, they will tell you that nobody in the whole company, an online one may I add, knows how to advice you on making a card payment to a website based clothing store. An absolute farce. I will be taking my custom back to ASOS and advice you all to do the same.",Britain (UK),Zalando
554967c90000ff0002e300e3,Terrible with returns!!,"I ordered 11 items and none of them worked so I am trying to return them. However, it takes days for them to get back to you and they are not giving me the information I need in order to get the items returned! It is an infuriating process and do not recommend ordering from them!",United States,Sheinside
60b45cecf9f4870b7012cda4,Order with wish and get worse then a dog dish!!,Wish is the worst company l have ever known the rubbish that l received was unbelievable the jumpers l ordered in the picture were really nice l ordered two blue and pink and they said they were 80 percent off red flag l guess!! They were priced at 8 pounds each but after the order had gone through got email saying 84 pounds l mailed the co immediately no reply and none of the contact phone numbers worked l could not believe what l received two blue awful quality tank tops? with holes everywhere and l do not know what to say they are out and out crooks and l am begging you not to waste time or money looking at their website they should be shut down immediately put one star but really you should a minus star score and for me that would  be infinite,Britain (UK),Wish
596060e7dacd1d00980ffbf0,Poor service,Ordered 2 items on the 1st of July and said would be delivered waiting 2-4 working days. Emailed them several times and they said it had been delayed and would be dispatched witihin 1-2 days. Called them yesterday twice and both women said it would be dispatched yesterday night. I have checked my emails and my account on zalando and it still has not been dispatched which is very shocking as it has been over a week and I have not been given a valid reason on why it is taking so long. Will not be shopping with them or recommending them to anyone again.,Britain (UK),Zalando
593155e120b79f0a909ad0e1,Great first time service ordered on …,"Great first time service ordered on Sunday of bank holiday weekend my gorgeous ted baker shoes arrived first thing Wednesday, would definitely order from you again x",Britain (UK),Zalando
5f7de9b0798e6f0784a7eecc,HORRIBLE HORRIBLE DO NOT PURCHASE,"HORRIBLE HORRIBLE DO NOT PURCHASE. THIS JUNE I PLACED AN ORDER THAT WAS ABOUT $60 AND I WAS EXTREMELY DISAPPOINTED WHEN IT DID NOT ARRIVE. I ASKED THE POSTAL SERVICE IF THEY HAD LOST MY PACKAGE AND THEY TOLD ME THAT THE COMPANY THAT SENT ME THE PACKAGE DID NOT SPEND ENOUGH ON SHIPPING TO GET IT TO ME AND SO SHEIN DECIDED TO DESTROY THE PACKAGE INSTEAD OF HAVE IT SENT BACK TO CHINA. I SHOULD NEVER HAVE PURCHASED ANYTHING FROM THEM TO BEGIN WITH, BUT I WAS LOW ON CASH AND REALLY WANTED A BATHING SUIT. I tried to contact the company and get a refund or at least an apology and I received nothing, not even an email. The entire company is based off slave labor. Please do not be as stupid as me and try to order from them.",United States,Sheinside
59f5c1fbdc938904f8e2bf4f,Zalando is the best,Zalando is the best. Great products that you do not find everywhere else. Great prices and the customer service is outstanding.,Britain (UK),Zalando
59e9d92831302a0ef48da183,I have only purchased one item from …,"I have only purchased one item from Zalando but I will not hesitate to order from them again, as the item arrived on time  and  was exactly as described.",Britain (UK),Zalando
576d417f0000ff00096964fc,Love this store,I really like the wide selection this store has to offer at a good price,United States,Sheinside
57cf0ac00000ff000984dec0,Not Straight Forward With Their Shipping,"I ordered a skirt last Sunday under 6 - 8 shipping days. The skirt also said that it is available to be shipped within 24hrs. On Monday morning I received an email saying that the item was shipped. I thought, oh great! however for a whole week now fedex tracking number has labeled created. I bought this item for an event on the 12th was hoping to get it by the 11th. I am extremely worried that I will not get it in time. I have no use for it after the 12th. This is very frustrating. When a company writes that it ships in 24 hrs and shipping takes 6-8 shipping days; that should mean that at the very most the item will arrive in 9 days!!!!!! This is very disappointing because this was my first time ordering through this website and if the item does not come on time, then I will prob. never use it again. #disappointing",United States,Sheinside
5f8ae0af798e6f077061082c,No complaints,"After reading a lot of the negative reviews about Zalando, I went ahead and bought a pair of boots from them anyway because I could not find them anywhere else and the main problem I read about was the customer service, as opposed to any scammy behaviour. I am so glad I did, because Zalando smashed it. The boots arrived quickly, are beautifully packaged and absolutely flawless. I am not trying to discredit anyone else's experience with Zalando, but just want potential shoppers to know that it is not all bad.",Britain (UK),Zalando
551596d20000ff0002d868ca,Great Online Shopping Site,"I was very nervous about ordering off this site because of some of the other reviews that I read about this, but the prices are so fabulous, I had to give it a try. I ordered the Red Spaghetti Strap Slim Chiffon Dress. The site states that it takes roughly 7-10 days for processing and then up to 28 days for shipping, so I planned ahead and did not expect the dress for a while. It arrived roughly three weeks from when I purchased it. I was very pleased with the shipping, especially since they noted how long I was expected to wait. The product was as described on their site and I love it! It is the perfect summer dress for a special occasion.",United States,Sheinside
6009c4c3755dc104c0c4edcd,Great price great service highly…,Great price great service highly recommended,Britain (UK),Zalando
5da5949260485807e8b25952,I really recommend this shop,I really recommend this shop. Fast and friendly contact with customer service.,Poland,Nelly
59214a33a02b42090067c2aa,great service placed order friday …,"great service placed order friday morning and received order monday morning, would defenitely use this company again",Britain (UK),Zalando
591ee74f20b79f0b24eff222,Really good company to deal with from …,Really good company to deal with from delivery right down to good customer service.,Britain (UK),Zalando
5f795d23798e6f0b341dabd2,Fast  and  reliable online seller.,-1,Croatia,Boozt
