Subject,Time,Defect isolated,Defects detected,Treatment,Program
S1,145,2,2,Testing,Counter
S2,132,1,1,Testing,Counter
S3,116,4,4,Testing,Correlation
S4,134,0,0,Testing,Counter
S5,132,0,0,Testing,Counter
S6,150,1,1,Testing,Counter
S7,133,0,0,Testing,Counter
S8,115,0,0,Testing,Correlation
S9,145,1,1,Testing,Correlation
S10,132,2,2,Testing,Correlation
S11,107,0,0,Testing,Correlation
S12,143,2,2,Testing,Counter
S13,112,1,1,Testing,Correlation
S14,121,0,0,Testing,Counter
S15,100,0,0,Testing,Correlation
S16,117,0,0,Testing,Correlation
S17,105,0,0,Testing,Counter
S18,121,2,2,Testing,Counter
S19,150,1,1,Testing,Correlation
S20,150,0,1,Testing,Correlation
S1,105,4,5,Inspection,Correlation
S2,107,3,3,Inspection,Correlation
S3,95,6,6,Inspection,Counter
S4,120,3,3,Inspection,Correlation
S5,134,1,1,Inspection,Correlation
S6,122,0,1,Inspection,Correlation
S7,143,5,5,Inspection,Correlation
S8,110,0,0,Inspection,Counter
S9,115,2,2,Inspection,Counter
S10,110,1,1,Inspection,Counter
S11,114,1,2,Inspection,Counter
S12,117,4,4,Inspection,Correlation
S13,140,0,0,Inspection,Counter
S14,150,0,0,Inspection,Correlation
S15,105,2,2,Inspection,Counter
S16,134,1,1,Inspection,Counter
S17,150,2,2,Inspection,Correlation
S18,105,4,4,Inspection,Correlation
S19,120,4,4,Inspection,Counter
S20,125,5,5,Inspection,Counter
