ID,Task number,Treatment,Task time (s),Accuracy (%),Avg fixation time (ms),Time on distraction (s),Age
1,1,Distraction,733,88,225,117,20
1,2,Distraction,791,85,211,110,20
1,3,Distraction,762,80,221,146,20
1,4,Distraction,745,92,235,90,20
1,5,Distraction,751,83,215,148,20
1,6,Distraction,746,84,218,127,20
1,7,Distraction,754,85,231,131,20
1,8,Distraction,747,84,220,147,20
1,9,Distraction,689,91,228,127,20
1,10,Distraction,717,83,224,113,20
2,1,Distraction,712,90,248,101,19
2,2,Distraction,786,89,222,95,19
2,3,Distraction,720,77,228,111,19
2,4,Distraction,734,87,202,98,19
2,5,Distraction,767,89,229,94,19
2,6,Distraction,773,81,217,142,19
2,7,Distraction,705,90,218,110,19
2,8,Distraction,738,89,234,143,19
2,9,Distraction,719,85,230,124,19
2,10,Distraction,774,85,236,121,19
3,1,Distraction,745,80,222,119,20
3,2,Distraction,747,94,226,98,20
3,3,Distraction,776,96,236,143,20
3,4,Distraction,775,78,229,96,20
3,5,Distraction,706,84,230,109,20
3,6,Distraction,744,83,211,144,20
3,7,Distraction,775,78,211,122,20
3,8,Distraction,735,95,218,106,20
3,9,Distraction,730,82,223,114,20
3,10,Distraction,706,85,220,105,20
4,1,Distraction,692,85,221,93,20
4,2,Distraction,824,87,217,104,20
4,3,Distraction,749,79,231,104,20
4,4,Distraction,773,81,234,128,20
4,5,Distraction,768,96,210,92,20
4,6,Distraction,733,94,229,91,20
4,7,Distraction,703,85,209,131,20
4,8,Distraction,764,88,218,98,20
4,9,Distraction,727,83,228,139,20
4,10,Distraction,713,92,245,105,20
5,1,Distraction,752,88,219,107,21
5,2,Distraction,755,89,225,141,21
5,3,Distraction,778,84,227,125,21
5,4,Distraction,783,88,218,148,21
5,5,Distraction,720,80,191,150,21
5,6,Distraction,726,78,220,112,21
5,7,Distraction,776,90,224,121,21
5,8,Distraction,693,78,227,125,21
5,9,Distraction,750,87,219,111,21
5,10,Distraction,776,92,232,142,21
6,1,Distraction,721,90,220,101,21
6,2,Distraction,746,84,227,91,21
6,3,Distraction,746,89,215,113,21
6,4,Distraction,773,83,229,100,21
6,5,Distraction,771,85,226,96,21
6,6,Distraction,803,85,209,143,21
6,7,Distraction,776,90,210,108,21
6,8,Distraction,791,88,225,142,21
6,9,Distraction,751,89,234,129,21
6,10,Distraction,750,90,227,143,21
7,1,Distraction,752,83,239,110,20
7,2,Distraction,730,86,221,105,20
7,3,Distraction,690,87,215,148,20
7,4,Distraction,773,91,218,102,20
7,5,Distraction,800,81,219,116,20
7,6,Distraction,735,81,228,101,20
7,7,Distraction,746,81,216,145,20
7,8,Distraction,755,77,217,96,20
7,9,Distraction,758,96,212,134,20
7,10,Distraction,808,85,214,100,20
8,1,Distraction,763,89,211,119,19
8,2,Distraction,748,79,219,116,19
8,3,Distraction,799,78,216,112,19
8,4,Distraction,754,85,243,141,19
8,5,Distraction,721,87,222,92,19
8,6,Distraction,732,88,221,125,19
8,7,Distraction,798,79,241,146,19
8,8,Distraction,691,87,219,144,19
8,9,Distraction,758,82,218,141,19
8,10,Distraction,735,82,216,132,19
9,1,Distraction,763,85,198,124,18
9,2,Distraction,792,93,225,98,18
9,3,Distraction,765,77,222,104,18
9,4,Distraction,782,91,229,104,18
9,5,Distraction,769,74,195,108,18
9,6,Distraction,748,87,219,131,18
9,7,Distraction,710,68,231,103,18
9,8,Distraction,814,94,224,148,18
9,9,Distraction,777,87,221,116,18
9,10,Distraction,752,82,206,144,18
10,1,Distraction,785,83,213,95,19
10,2,Distraction,791,87,235,115,19
10,3,Distraction,741,85,213,97,19
10,4,Distraction,749,87,212,135,19
10,5,Distraction,765,85,206,142,19
10,6,Distraction,725,86,220,94,19
10,7,Distraction,764,85,243,132,19
10,8,Distraction,762,96,212,125,19
10,9,Distraction,747,90,205,101,19
10,10,Distraction,774,74,215,125,19
11,1,Distraction,710,81,215,107,21
11,2,Distraction,749,94,205,106,21
11,3,Distraction,746,88,228,95,21
11,4,Distraction,755,86,230,100,21
11,5,Distraction,792,83,223,113,21
11,6,Distraction,750,82,234,140,21
11,7,Distraction,729,86,223,135,21
11,8,Distraction,807,86,228,134,21
11,9,Distraction,731,92,213,105,21
11,10,Distraction,731,81,213,143,21
12,1,Distraction,704,91,223,121,21
12,2,Distraction,728,86,236,141,21
12,3,Distraction,812,94,218,98,21
12,4,Distraction,779,92,229,103,21
12,5,Distraction,782,76,208,144,21
12,6,Distraction,689,86,198,137,21
12,7,Distraction,799,78,203,118,21
12,8,Distraction,748,85,224,110,21
12,9,Distraction,711,88,224,101,21
12,10,Distraction,722,89,217,118,21
13,1,Distraction,752,87,226,111,18
13,2,Distraction,734,84,219,123,18
13,3,Distraction,686,88,208,96,18
13,4,Distraction,715,95,218,121,18
